City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,afaahiti,-17.75,-149.2833,302.08,85,77,9.71,PF,1715038463
1,dzhangala,49.2167,50.3333,284.15,63,29,2.44,KZ,1715038464
2,labytnangi,66.6572,66.4183,254.47,94,30,3.27,RU,1715038464
3,bilibino,68.0546,166.4372,271.05,89,85,1.37,RU,1715038464
4,whitehorse,60.7161,-135.0538,278.6,88,100,2.06,CA,1715038464
5,west%20island,-12.1568,96.8225,300.14,78,40,7.2,CC,1715038465
6,inzhavino,52.3185,42.4937,282.91,91,100,5.87,RU,1715038465
7,port-aux-francais,-49.35,70.2167,280.08,97,100,13.27,TF,1715038465
8,puerto%20ayora,-0.7393,-90.3518,297.34,97,30,0.89,EC,1715038465
9,cam%20pha%20mines,21.0167,107.3,298.16,84,35,1.82,VN,1715038466
10,college,64.8569,-147.8028,274.51,88,100,3.09,US,1715038466
11,bredasdorp,-34.5322,20.0403,287.7,64,0,1.37,ZA,1715038459
12,mananjary,-21.2167,48.3333,295.05,84,54,1.23,MG,1715038466
13,kill%20devil%20hills,36.0307,-75.676,297.15,86,0,8.75,US,1715038467
14,cadale,2.7603,46.3222,301.13,80,100,6.33,SO,1715038467
15,sinabang,2.4803,96.3801,298.94,93,100,2.54,ID,1715038467
16,kapuskasing,49.4169,-82.4331,289.2,39,75,4.12,CA,1715038467
17,kez,57.8979,53.7152,272.88,84,100,3.84,RU,1715038468
18,kingston,17.997,-76.7936,302.68,79,40,8.75,JM,1715038310
19,nova%20sintra,14.8667,-24.7167,295.92,80,3,9.34,CV,1715038468
20,neiafu,-18.65,-173.9833,303.53,84,40,3.6,TO,1715038468
21,hadibu,12.65,54.0333,302.19,75,57,2.53,YE,1715038469
22,arraial%20do%20cabo,-22.9661,-42.0278,297.13,88,0,5.66,BR,1715038469
23,atafu%20village,-8.5421,-172.5159,303.09,74,39,4.89,TK,1715038469
24,ketchikan,55.3422,-131.6461,283.14,71,75,7.2,US,1715038469
25,waitangi,-43.9535,-176.5597,284.16,80,92,3.13,NZ,1715038470
26,kapa'a,22.0752,-159.319,301.14,75,100,6.69,US,1715038421
27,la%20sarre,48.8002,-79.1996,284.4,62,99,2.92,CA,1715038179
28,adamstown,-25.066,-130.1015,295.04,78,46,8.28,PN,1715038470
29,juan%20griego,11.0817,-63.9655,299.81,85,88,4.87,VE,1715038471
30,daru,-9.0763,143.2092,299.96,87,96,6.64,PG,1715038471
31,remire-montjoly,4.9167,-52.2667,301.17,89,100,5.14,GF,1715038471
32,edinburgh%20of%20the%20seven%20seas,-37.0676,-12.3116,287.3,68,67,9.29,SH,1715038471
33,iqaluit,63.7506,-68.5145,271.0,69,20,3.09,CA,1715038213
34,carutapera,-1.195,-46.02,298.21,95,100,1.99,BR,1715038472
35,yellowknife,62.456,-114.3525,291.71,48,20,5.14,CA,1715038472
36,caleta%20de%20carquin,-11.0925,-77.6267,292.9,87,48,4.65,PE,1715038472
37,zapolyarnyy,69.4154,30.8136,269.75,81,100,3.41,RU,1715038473
38,avarua,-21.2078,-159.775,301.18,89,75,6.17,CK,1715038473
39,tsiombe,-25.3,45.4833,293.19,71,0,3.52,MG,1715038473
40,floro,61.5996,5.0328,286.19,87,100,0.0,NO,1715038473
41,carnarvon,-24.8667,113.6333,292.75,59,0,7.45,AU,1715038474
42,port%20elizabeth,-33.918,25.5701,291.66,96,75,1.54,ZA,1715038474
43,thompson,55.7435,-97.8558,290.24,34,40,2.57,CA,1715038474
44,geraldton,-28.7667,114.6,283.38,81,1,3.09,AU,1715038289
45,namsos,64.4662,11.4957,277.18,70,2,5.14,NO,1715038475
46,aldinga%20beach,-35.2793,138.4604,292.41,51,0,2.23,AU,1715038475
47,huntingburg,38.2989,-86.955,297.2,73,0,3.09,US,1715038475
48,nuuk,64.1835,-51.7216,270.49,68,20,6.71,GL,1715038227
49,didwana,27.4,74.5667,303.2,19,28,2.21,IN,1715038476
50,lata,40.1629,-8.3327,284.77,97,19,0.53,PT,1715038476
51,kerikeri,-35.2268,173.9474,293.1,77,9,3.13,NZ,1715038476
52,usol'ye-sibirskoye,52.7519,103.6453,285.58,65,96,3.95,RU,1715038476
53,niwai,26.35,75.9167,304.54,17,39,2.75,IN,1715038477
54,ilulissat,69.2167,-51.1,268.16,68,100,3.09,GL,1715038477
55,tommot,58.9564,126.2925,282.86,81,100,1.96,RU,1715038477
56,escanaba,45.7453,-87.0646,290.13,39,0,2.57,US,1715038382
57,hawaiian%20paradise%20park,19.5933,-154.9731,298.72,88,100,1.54,US,1715038478
58,puerto%20natales,-51.7236,-72.4875,271.38,91,19,1.48,CL,1715038298
59,tual,-5.6667,132.75,300.57,83,100,7.14,ID,1715038478
60,ushuaia,-54.8,-68.3,273.96,93,100,2.06,AR,1715038293
61,hamilton,39.1834,-84.5333,294.91,91,100,2.57,US,1715038215
62,margaret%20river,-33.95,115.0667,286.27,82,8,3.27,AU,1715038479
63,bethel,41.3712,-73.414,295.2,68,0,2.57,US,1715038479
64,slavyanka,42.8633,131.3847,283.72,59,100,6.54,RU,1715038479
65,castro,-24.7911,-50.0119,290.32,69,0,1.77,BR,1715038480
66,puerto%20rico,-26.796,-55.024,293.99,72,19,1.68,AR,1715038351
67,dunedin,-45.8742,170.5036,285.22,54,79,3.69,NZ,1715038274
68,igarka,67.4667,86.5833,266.0,92,100,5.81,RU,1715038480
69,st.%20john's,47.5649,-52.7093,279.25,79,100,7.2,CA,1715038481
70,dudinka,69.4058,86.1778,259.05,99,99,2.17,RU,1715038481
71,new%20norfolk,-42.7826,147.0587,281.87,65,6,0.97,AU,1715038481
72,paracuru,-3.41,-39.0306,300.99,87,100,3.3,BR,1715038481
73,akim%20oda,5.9231,-0.9951,298.26,91,75,1.08,GH,1715038482
74,iskateley,67.6803,53.1512,262.6,91,83,4.02,RU,1715038482
75,iquique,-20.2208,-70.1431,292.17,80,60,1.52,CL,1715038233
76,coquimbo,-29.9533,-71.3436,286.0,82,0,2.06,CL,1715038350
77,papatowai,-46.5619,169.4708,283.87,73,76,5.8,NZ,1715038483
78,kodiak,57.79,-152.4072,279.88,81,40,4.12,US,1715038483
79,sorong,-0.8833,131.25,298.45,87,100,9.4,ID,1715038483
80,wailua%20homesteads,22.0669,-159.378,300.39,75,100,6.69,US,1715038402
81,otjimbingwe,-22.35,16.1333,293.11,30,6,1.8,NA,1715038484
82,haiku-pauwela,20.9219,-156.3051,299.35,77,40,10.29,US,1715038484
83,kodinar,20.7903,70.7031,299.77,86,0,5.13,IN,1715038485
84,trinidad,-14.8333,-64.9,303.14,79,75,0.0,BO,1715038485
85,choma,-16.8065,26.9531,290.56,58,0,1.72,ZM,1715038485
86,kailua-kona,19.6406,-155.9956,300.13,80,75,4.63,US,1715038485
87,badger,64.8,-147.5333,274.46,90,100,3.09,US,1715038485
88,port%20alberni,49.2413,-124.8028,287.1,74,90,4.92,CA,1715038239
89,albany,42.6001,-73.9662,292.89,61,100,0.45,US,1715038244
90,laishevo,55.4046,49.5504,275.27,84,90,1.96,RU,1715038486
91,blackmans%20bay,-43.0167,147.3167,281.22,61,7,0.3,AU,1715038486
92,olonkinbyen,70.9221,-8.7187,273.37,97,100,7.68,SJ,1715038487
93,grytviken,-54.2811,-36.5092,273.93,85,64,4.51,GS,1715038487
94,lihue,21.9789,-159.3672,300.73,68,100,6.69,US,1715038487
95,prineville,44.2999,-120.8345,286.54,51,75,7.2,US,1715038487
96,kavaratti,10.5669,72.642,303.32,69,82,3.85,IN,1715038488
